mysql_version	port	innodb_page_size	sql_mode	foreign_key_checks
8.0.46	13306	16384	ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION	1
object_type	object_count
tables	19
columns	154
PRIMARY KEY	19
UNIQUE	13
FOREIGN KEY	40
CHECK	51
all_indexes	56
ordinary_indexes	24
routines	0
triggers	0
views	0
ck_defects_key_no	YES
ck_defects_priority	YES
ck_defects_resolution_note	YES
ck_defects_severity	YES
ck_defects_status	YES
ck_defects_title_nonblank	YES
ck_project_counters_entity_type	YES
ck_project_counters_next_value	YES
ck_project_members_project_role	YES
ck_project_members_status	YES
ck_projects_name_nonblank	YES
ck_projects_status	YES
ck_requirements_key_no	YES
ck_requirements_priority	YES
ck_requirements_status	YES
ck_requirements_title_nonblank	YES
ck_runs_ended_at	YES
ck_test_attempts_attempt_no	YES
ck_test_attempts_status	YES
ck_test_automation_identities_namespace_nonblank	YES
ck_test_automation_identities_source	YES
ck_test_automation_mappings_status	YES
ck_test_case_requirements_status	YES
ck_test_cases_key_no	YES
ck_test_cases_priority	YES
ck_test_cases_status	YES
ck_test_cases_title_nonblank	YES
ck_test_imports_original_filename_nonblank	YES
ck_test_imports_source_namespace_nonblank	YES
ck_test_plans_key_no	YES
ck_test_plans_name_nonblank	YES
ck_test_plans_status	YES
ck_test_run_case_steps_action_nonblank	YES
ck_test_run_case_steps_expected_result_nonblank	YES
ck_test_run_case_steps_step_order	YES
ck_test_run_cases_snapshot_priority	YES
ck_test_run_cases_snapshot_title_nonblank	YES
ck_test_runs_name_nonblank	YES
ck_test_runs_status	YES
ck_test_steps_action_nonblank	YES
ck_test_steps_expected_result_nonblank	YES
ck_test_steps_step_order	YES
ck_trace_review_shape	YES
ck_users_display_name_nonblank	YES
ck_users_password_hash_nonblank	YES
ck_users_status	YES
ck_users_system_role	YES
ck_users_username_nonblank	YES
table_name	row_count
users	10
projects	10
project_members	20
project_counters	40
requirements	30
test_cases	40
test_automation_identities	30
test_automation_mappings	30
test_steps	80
test_case_requirements	40
test_plans	20
test_plan_cases	50
test_runs	30
test_run_cases	50
test_run_case_steps	100
test_imports	20
test_attempts	50
defects	20
test_attempt_defects	10
